,From,To,Date
158,2,15905,2006-11-02
159,2,15908,2006-11-02
160,2,15911,2006-11-02
161,2,15919,2006-11-02
162,2,15922,2006-11-02
163,2,15925,2006-11-02
164,2,15941,2006-11-02
165,2,15946,2006-11-02
166,2,15954,2006-11-02
167,2,15960,2006-11-02
168,2,15961,2006-11-02
169,2,15962,2006-11-02
170,2,15967,2006-11-02
171,2,15971,2006-11-02
172,2,15972,2006-11-02
173,2,15973,2006-11-02
174,2,15976,2006-11-02
175,2,15979,2006-11-02
176,2,15983,2006-11-02
177,2,15990,2006-11-02
178,2,15991,2006-11-02
179,2,15994,2006-11-02
180,2,16000,2006-11-02
181,2,16003,2006-11-02
182,2,16008,2006-11-02
183,2,16014,2006-11-02
184,2,16016,2006-11-02
185,2,16018,2006-11-02
186,2,16019,2006-11-02
187,2,16021,2006-11-02
188,2,16025,2006-11-02
189,2,16135,2006-11-02
190,2,16553,2006-11-02
191,2,16970,2006-11-02
192,2,17525,2006-11-02
193,2,17546,2006-11-02
194,2,17613,2006-11-02
195,2,17616,2006-11-02
196,2,17762,2006-11-02
197,2,17820,2006-11-02
198,2,18068,2006-11-02
199,2,18397,2006-11-02
200,2,18592,2006-11-02
201,2,19124,2006-11-02
202,2,19476,2006-11-02
203,2,19520,2006-11-02
204,2,19556,2006-11-02
205,2,19708,2006-11-02
206,2,20635,2006-11-02
207,2,20773,2006-11-02
208,2,20774,2006-11-02
209,2,20789,2006-11-02
210,2,21395,2006-11-02
211,2,22366,2006-11-02
212,2,23230,2006-11-02
213,2,23638,2006-11-02
214,2,23675,2006-11-02
215,2,24637,2006-11-02
216,2,24704,2006-11-02
217,2,25943,2006-11-02
218,2,26978,2006-11-02
219,2,27014,2006-11-02
220,2,27023,2006-11-02
221,2,27599,2006-11-02
222,2,28658,2006-11-02
223,2,28837,2006-11-02
224,2,32660,2006-11-02
225,2,33309,2006-11-02
226,2,33918,2006-11-02
227,2,34203,2006-11-02
228,2,35015,2006-11-02
229,2,35154,2006-11-02
230,2,35559,2006-11-02
231,2,38548,2006-11-02
232,2,38584,2006-11-02
233,2,40025,2006-11-02
234,2,41077,2006-11-02
235,2,42526,2006-11-02
236,2,44298,2006-11-02
237,2,44759,2006-11-02
238,2,46262,2006-11-02
239,2,48980,2006-11-02
240,2,51357,2006-11-02
241,2,51829,2006-11-02
242,2,57671,2006-11-02
243,2,58143,2006-11-02
244,2,58502,2006-11-02
245,2,58504,2006-11-02
246,2,59442,2006-11-02
247,2,61050,2006-11-02
248,2,61595,2006-11-02
249,2,61668,2006-11-02
250,2,63102,2006-11-02
251,2,66882,2006-11-02
252,2,70487,2006-11-02
253,2,73989,2006-11-02
254,2,74212,2006-11-02
255,2,74471,2006-11-02
256,2,74474,2006-11-02
257,2,76923,2006-11-02
258,2,78656,2006-11-02
259,2,84743,2006-11-02
260,2,86081,2006-11-02
261,2,91937,2006-11-02
262,2,95010,2006-11-02
263,2,97660,2006-11-02
264,2,98195,2006-11-02
265,2,104875,2006-11-02
266,2,109455,2006-11-02
267,2,110828,2006-11-02
268,2,118528,2006-11-02
269,2,125944,2006-11-02
270,2,126509,2006-11-02
271,2,128131,2006-11-02
272,2,129975,2006-11-02
273,2,131289,2006-11-02
274,2,134278,2006-11-02
275,2,136529,2006-11-02
276,2,141300,2006-11-02
277,2,145069,2006-11-02
278,2,145316,2006-11-02
279,2,153356,2006-11-02
280,2,153357,2006-11-02
281,2,153358,2006-11-02
282,2,153359,2006-11-02
283,2,153360,2006-11-02
284,2,153362,2006-11-02
285,2,153363,2006-11-02
286,2,153364,2006-11-02
287,2,153365,2006-11-02
288,2,153366,2006-11-02
289,2,159362,2006-11-02
290,2,159646,2006-11-02
291,2,166067,2006-11-02
292,2,169455,2006-11-02
293,2,169736,2006-11-02
294,2,172146,2006-11-02
295,2,176624,2006-11-02
296,2,194815,2006-11-02
297,2,206760,2006-11-02
298,2,215470,2006-11-02
299,2,217380,2006-11-02
300,2,235739,2006-11-02
301,2,243158,2006-11-02
302,2,243238,2006-11-02
303,2,246171,2006-11-02
304,2,252314,2006-11-02
305,2,253928,2006-11-02
306,2,254896,2006-11-02
307,2,264162,2006-11-02
308,2,284377,2006-11-02
309,2,292796,2006-11-02
310,2,293980,2006-11-02
311,2,295908,2006-11-02
312,2,295909,2006-11-02
313,2,295910,2006-11-02
314,2,295911,2006-11-02
315,2,295912,2006-11-02
316,2,295913,2006-11-02
317,2,295914,2006-11-02
318,2,295915,2006-11-02
319,2,295916,2006-11-02
320,2,295917,2006-11-02
321,2,295918,2006-11-02
322,2,295919,2006-11-02
323,2,295920,2006-11-02
324,2,295922,2006-11-02
325,2,295923,2006-11-02
326,2,295924,2006-11-02
327,2,295926,2006-11-02
328,2,295927,2006-11-02
329,2,295928,2006-11-02
330,2,295929,2006-11-02
331,2,295930,2006-11-02
332,2,295931,2006-11-02
333,2,295932,2006-11-02
334,2,295935,2006-11-02
335,2,295936,2006-11-02
336,2,295937,2006-11-02
337,2,295938,2006-11-02
338,2,295939,2006-11-02
339,2,295940,2006-11-02
340,2,324210,2006-11-02
341,2,391240,2006-11-02
342,2,408148,2006-11-02
343,2,457243,2006-11-02
344,2,517587,2006-11-02
345,2,531521,2006-11-02
346,2,549071,2006-11-02
347,2,562716,2006-11-02
348,2,736871,2006-11-02
349,2,737509,2006-11-02
350,2,975929,2006-11-02
351,2,977071,2006-11-02
352,2,978040,2006-11-02
353,2,981228,2006-11-02
354,2,989526,2006-11-02
355,2,1001620,2006-11-02
356,2,1052064,2006-11-02
357,2,1055076,2006-11-02
358,2,1055100,2006-11-02
359,2,1055101,2006-11-02
360,2,1055103,2006-11-02
361,2,1104158,2006-11-02
362,2,1152522,2006-11-02
363,2,1156422,2006-11-02
364,2,1263383,2006-11-02
365,2,1271384,2006-11-02
366,2,1383736,2006-11-02
367,2,1419318,2006-11-02
368,2,1427413,2006-11-02
369,2,1427414,2006-11-02
370,2,1427415,2006-11-02
371,2,1427417,2006-11-02
372,3,2,2006-11-02
373,3,4,2006-11-02
374,3,10,2006-11-02
375,4,2,2006-11-02
376,4,3,2006-11-02
377,4,7,2006-11-02
378,4,9,2006-11-02
379,4,23,2006-11-02
380,4,55,2006-11-02
381,4,350,2006-11-02
382,4,461,2006-11-02
383,4,588,2006-11-02
384,4,618,2006-11-02
385,4,622,2006-11-02
386,4,697,2006-11-02
387,4,906,2006-11-02
388,4,926,2006-11-02
389,4,983,2006-11-02
390,4,1008,2006-11-02
391,4,1040,2006-11-02
392,4,1124,2006-11-02
393,4,1142,2006-11-02
394,4,1228,2006-11-02
395,4,1284,2006-11-02
396,4,1298,2006-11-02
397,4,1418,2006-11-02
398,4,1467,2006-11-02
399,4,1532,2006-11-02
400,4,1609,2006-11-02
401,4,1634,2006-11-02
402,4,1635,2006-11-02
403,4,1695,2006-11-02
404,4,1809,2006-11-02
405,4,1826,2006-11-02
406,4,1952,2006-11-02
407,4,2011,2006-11-02
408,4,2299,2006-11-02
409,4,2360,2006-11-02
410,4,2402,2006-11-02
411,4,2446,2006-11-02
412,4,2488,2006-11-02
413,4,2574,2006-11-02
414,4,2686,2006-11-02
415,4,2708,2006-11-02
416,4,2944,2006-11-02
417,4,3177,2006-11-02
418,4,3383,2006-11-02
419,4,3568,2006-11-02
420,4,3688,2006-11-02
421,4,4068,2006-11-02
422,4,4079,2006-11-02
423,4,4132,2006-11-02
424,4,4206,2006-11-02
425,4,4397,2006-11-02
426,4,4408,2006-11-02
427,4,4531,2006-11-02
428,4,4644,2006-11-02
429,4,4893,2006-11-02
430,4,5222,2006-11-02
431,4,5295,2006-11-02
432,4,5453,2006-11-02
433,4,5798,2006-11-02
434,4,6207,2006-11-02
435,4,6756,2006-11-02
436,4,6880,2006-11-02
437,4,7031,2006-11-02
438,4,7268,2006-11-02
439,4,8057,2006-11-02
440,4,8090,2006-11-02
441,4,8212,2006-11-02
442,4,8746,2006-11-02
443,4,8913,2006-11-02
444,4,9388,2006-11-02
445,4,10065,2006-11-02
446,4,10988,2006-11-02
447,4,11966,2006-11-02
448,4,11976,2006-11-02
449,4,12231,2006-11-02
450,4,12947,2006-11-02
451,4,12971,2006-11-02
452,4,13142,2006-11-02
453,4,13390,2006-11-02
454,4,13883,2006-11-02
455,4,14130,2006-11-02
456,4,14181,2006-11-02
457,4,14514,2006-11-02
458,4,14649,2006-11-02
459,4,14769,2006-11-02
460,4,14897,2006-11-02
461,4,14981,2006-11-02
462,4,15799,2006-11-02
463,4,15905,2006-11-02
464,4,15972,2006-11-02
465,4,16236,2006-11-02
466,4,17613,2006-11-02
467,4,17762,2006-11-02
468,4,18058,2006-11-02
469,4,19708,2006-11-02
470,4,20092,2006-11-02
471,4,21193,2006-11-02
472,4,22591,2006-11-02
473,4,24637,2006-11-02
474,4,27599,2006-11-02
475,4,30483,2006-11-02
476,4,35034,2006-11-02
477,4,40553,2006-11-02
478,4,52953,2006-11-02
479,4,68490,2006-11-02
480,4,74972,2006-11-02
481,4,76434,2006-11-02
482,4,131289,2006-11-02
483,4,134972,2006-11-02
484,4,141300,2006-11-02
485,4,153356,2006-11-02
486,4,153357,2006-11-02
487,4,153358,2006-11-02
488,4,153359,2006-11-02
489,4,153360,2006-11-02
490,4,153361,2006-11-02
491,4,153362,2006-11-02
492,4,153363,2006-11-02
493,4,153364,2006-11-02
494,4,153365,2006-11-02
495,4,153366,2006-11-02
496,4,154103,2006-11-02
497,4,163018,2006-11-02
498,4,268443,2006-11-02
499,4,295938,2006-11-02
500,4,737509,2006-11-02
501,4,977071,2006-11-02
502,4,1055100,2006-11-02
503,4,1133340,2006-11-02
504,4,1271185,2006-11-02
505,4,1340948,2006-11-02
506,4,1419318,2006-11-02
507,4,1427413,2006-11-02
508,4,1427415,2006-11-02
509,4,1427417,2006-11-02
510,4,1427846,2006-11-02
511,5,794106,2006-11-02
512,6,11,2006-11-02
513,6,12,2006-11-02
514,6,13,2006-11-02
515,6,14,2006-11-02
516,6,15,2006-11-02
517,6,16,2006-11-02
518,6,17,2006-11-02
519,6,18,2006-11-02
520,6,19,2006-11-02
521,6,20,2006-11-02
522,6,21,2006-11-02
523,6,22,2006-11-02
524,6,23,2006-11-02
525,6,24,2006-11-02
526,6,25,2006-11-02
527,6,26,2006-11-02
528,6,27,2006-11-02
529,6,28,2006-11-02
530,6,29,2006-11-02
531,6,30,2006-11-02
532,6,31,2006-11-02
533,6,32,2006-11-02
534,6,33,2006-11-02
535,6,34,2006-11-02
536,6,35,2006-11-02
537,6,36,2006-11-02
538,6,37,2006-11-02
539,6,38,2006-11-02
540,6,39,2006-11-02
541,6,40,2006-11-02
542,6,41,2006-11-02
543,6,42,2006-11-02
544,6,43,2006-11-02
545,6,45,2006-11-02
546,6,46,2006-11-02
547,6,47,2006-11-02
548,6,48,2006-11-02
549,6,49,2006-11-02
550,6,50,2006-11-02
551,6,51,2006-11-02
552,6,52,2006-11-02
553,6,53,2006-11-02
554,6,54,2006-11-02
555,6,55,2006-11-02
556,6,56,2006-11-02
557,6,57,2006-11-02
558,6,58,2006-11-02
559,6,59,2006-11-02
560,6,60,2006-11-02
561,6,61,2006-11-02
562,6,62,2006-11-02
563,6,63,2006-11-02
564,6,64,2006-11-02
565,6,65,2006-11-02
566,6,66,2006-11-02
567,6,67,2006-11-02
568,6,68,2006-11-02
569,6,69,2006-11-02
570,6,70,2006-11-02
571,6,71,2006-11-02
572,6,72,2006-11-02
573,6,73,2006-11-02
574,6,74,2006-11-02
575,6,75,2006-11-02
576,6,76,2006-11-02
577,6,77,2006-11-02
578,6,78,2006-11-02
579,6,79,2006-11-02
580,6,80,2006-11-02
581,6,81,2006-11-02
582,6,82,2006-11-02
583,6,83,2006-11-02
584,6,84,2006-11-02
585,6,85,2006-11-02
586,6,86,2006-11-02
587,6,87,2006-11-02
588,6,88,2006-11-02
589,6,89,2006-11-02
590,6,90,2006-11-02
591,6,91,2006-11-02
592,6,92,2006-11-02
593,6,93,2006-11-02
594,6,94,2006-11-02
595,6,95,2006-11-02
596,6,96,2006-11-02
597,6,97,2006-11-02
598,6,98,2006-11-02
599,6,99,2006-11-02
600,6,100,2006-11-02
601,6,101,2006-11-02
602,6,102,2006-11-02
603,6,103,2006-11-02
604,6,104,2006-11-02
605,6,105,2006-11-02
606,6,106,2006-11-02
607,6,107,2006-11-02
608,6,108,2006-11-02
609,6,109,2006-11-02
610,6,110,2006-11-02
611,6,111,2006-11-02
612,6,112,2006-11-02
613,6,113,2006-11-02
614,6,114,2006-11-02
615,6,115,2006-11-02
616,6,116,2006-11-02
617,6,117,2006-11-02
618,6,118,2006-11-02
619,6,119,2006-11-02
620,6,120,2006-11-02
621,6,121,2006-11-02
622,6,122,2006-11-02
623,6,123,2006-11-02
624,6,124,2006-11-02
625,6,125,2006-11-02
626,6,126,2006-11-02
627,6,127,2006-11-02
628,6,128,2006-11-02
629,6,129,2006-11-02
630,6,130,2006-11-02
631,6,131,2006-11-02
632,6,132,2006-11-02
633,6,133,2006-11-02
634,6,134,2006-11-02
635,6,135,2006-11-02
636,6,136,2006-11-02
637,6,137,2006-11-02
638,6,138,2006-11-02
639,6,139,2006-11-02
640,6,140,2006-11-02
641,6,141,2006-11-02
642,6,142,2006-11-02
643,6,143,2006-11-02
644,6,144,2006-11-02
645,6,145,2006-11-02
646,6,146,2006-11-02
647,6,147,2006-11-02
648,6,148,2006-11-02
649,6,149,2006-11-02
650,6,150,2006-11-02
651,6,151,2006-11-02
652,6,152,2006-11-02
653,6,153,2006-11-02
654,6,154,2006-11-02
655,6,155,2006-11-02
656,6,156,2006-11-02
657,6,157,2006-11-02
658,6,158,2006-11-02
659,6,159,2006-11-02
660,6,160,2006-11-02
661,6,161,2006-11-02
662,6,162,2006-11-02
663,6,163,2006-11-02
664,6,165,2006-11-02
665,6,166,2006-11-02
666,6,167,2006-11-02
667,6,168,2006-11-02
668,6,169,2006-11-02
669,6,170,2006-11-02
670,6,171,2006-11-02
671,6,172,2006-11-02
672,6,173,2006-11-02
673,6,174,2006-11-02
674,6,175,2006-11-02
675,6,176,2006-11-02
676,6,177,2006-11-02
677,6,178,2006-11-02
678,6,179,2006-11-02
679,6,180,2006-11-02
680,6,181,2006-11-02
681,6,182,2006-11-02
682,6,183,2006-11-02
683,6,184,2006-11-02
684,6,185,2006-11-02
685,6,186,2006-11-02
686,6,187,2006-11-02
687,6,188,2006-11-02
688,6,189,2006-11-02
689,6,190,2006-11-02
690,6,191,2006-11-02
691,6,192,2006-11-02
692,6,193,2006-11-02
693,6,194,2006-11-02
694,6,195,2006-11-02
695,6,196,2006-11-02
696,6,197,2006-11-02
697,6,198,2006-11-02
698,6,199,2006-11-02
699,6,200,2006-11-02
700,6,201,2006-11-02
701,6,202,2006-11-02
702,6,203,2006-11-02
703,6,204,2006-11-02
704,6,205,2006-11-02
705,6,206,2006-11-02
706,6,207,2006-11-02
707,6,208,2006-11-02
708,6,209,2006-11-02
709,6,210,2006-11-02
710,6,211,2006-11-02
711,6,212,2006-11-02
712,6,213,2006-11-02
713,6,214,2006-11-02
714,6,215,2006-11-02
715,6,216,2006-11-02
716,6,217,2006-11-02
717,6,218,2006-11-02
718,6,219,2006-11-02
719,6,220,2006-11-02
720,6,221,2006-11-02
721,6,222,2006-11-02
722,6,223,2006-11-02
723,6,224,2006-11-02
724,6,225,2006-11-02
725,6,226,2006-11-02
726,6,227,2006-11-02
727,6,228,2006-11-02
728,6,229,2006-11-02
729,6,230,2006-11-02
730,6,231,2006-11-02
731,6,232,2006-11-02
732,6,233,2006-11-02
733,6,234,2006-11-02
734,6,235,2006-11-02
735,6,236,2006-11-02
736,6,237,2006-11-02
737,6,238,2006-11-02
738,6,239,2006-11-02
739,6,240,2006-11-02
740,6,241,2006-11-02
741,6,242,2006-11-02
742,6,243,2006-11-02
743,6,244,2006-11-02
744,6,245,2006-11-02
745,6,246,2006-11-02
746,6,247,2006-11-02
747,6,248,2006-11-02
748,6,249,2006-11-02
749,6,250,2006-11-02
750,6,251,2006-11-02
751,6,252,2006-11-02
752,6,253,2006-11-02
753,6,254,2006-11-02
754,6,255,2006-11-02
755,6,256,2006-11-02
756,6,257,2006-11-02
757,6,258,2006-11-02
758,6,259,2006-11-02
759,6,260,2006-11-02
760,6,261,2006-11-02
761,6,262,2006-11-02
762,6,263,2006-11-02
763,6,264,2006-11-02
764,6,265,2006-11-02
765,6,266,2006-11-02
766,6,267,2006-11-02
767,6,268,2006-11-02
768,6,269,2006-11-02
769,6,270,2006-11-02
770,6,271,2006-11-02
771,6,272,2006-11-02
772,6,273,2006-11-02
773,6,274,2006-11-02
774,6,275,2006-11-02
775,6,276,2006-11-02
776,6,277,2006-11-02
777,6,278,2006-11-02
778,6,279,2006-11-02
779,6,280,2006-11-02
780,6,281,2006-11-02
781,6,282,2006-11-02
782,6,283,2006-11-02
783,6,284,2006-11-02
784,6,285,2006-11-02
785,6,286,2006-11-02
786,6,287,2006-11-02
787,6,288,2006-11-02
788,6,289,2006-11-02
789,6,290,2006-11-02
790,6,291,2006-11-02
791,6,292,2006-11-02
792,6,293,2006-11-02
793,6,294,2006-11-02
794,6,295,2006-11-02
795,6,296,2006-11-02
796,6,297,2006-11-02
797,6,298,2006-11-02
798,6,299,2006-11-02
799,6,300,2006-11-02
800,6,301,2006-11-02
801,6,302,2006-11-02
802,6,303,2006-11-02
803,6,304,2006-11-02
804,6,305,2006-11-02
805,6,306,2006-11-02
806,6,307,2006-11-02
807,6,308,2006-11-02
808,6,309,2006-11-02
809,6,310,2006-11-02
810,6,311,2006-11-02
811,6,312,2006-11-02
812,6,313,2006-11-02
813,6,314,2006-11-02
814,6,315,2006-11-02
815,6,316,2006-11-02
816,6,317,2006-11-02
817,6,318,2006-11-02
818,6,319,2006-11-02
819,6,320,2006-11-02
820,6,321,2006-11-02
821,6,322,2006-11-02
822,6,323,2006-11-02
823,6,324,2006-11-02
824,6,325,2006-11-02
825,6,327,2006-11-02
826,6,328,2006-11-02
827,6,329,2006-11-02
828,6,330,2006-11-02
829,6,331,2006-11-02
830,6,332,2006-11-02
831,6,333,2006-11-02
832,6,334,2006-11-02
833,6,335,2006-11-02
834,6,336,2006-11-02
835,6,337,2006-11-02
836,6,338,2006-11-02
837,6,339,2006-11-02
838,6,340,2006-11-02
839,6,341,2006-11-02
840,6,342,2006-11-02
841,6,343,2006-11-02
842,6,344,2006-11-02
843,6,345,2006-11-02
844,6,346,2006-11-02
845,6,3574,2006-11-02
846,6,4492,2006-11-02
847,6,5235,2006-11-02
848,6,8811,2006-11-02
849,6,10160,2006-11-02
850,6,11451,2006-11-02
851,6,16404,2006-11-02
852,6,19188,2006-11-02
853,6,19328,2006-11-02
854,6,19340,2006-11-02
855,6,19362,2006-11-02
856,6,19400,2006-11-02
857,6,23062,2006-11-02
858,6,46074,2006-11-02
859,6,50540,2006-11-02
860,6,60551,2006-11-02
861,6,68362,2006-11-02
862,6,120703,2006-11-02
863,6,153172,2006-11-02
864,6,184742,2006-11-02
865,6,214438,2006-11-02
866,6,239315,2006-11-02
867,6,259406,2006-11-02
868,6,259407,2006-11-02
869,6,301988,2006-11-02
870,6,340215,2006-11-02
871,6,537726,2006-11-02
872,6,575136,2006-11-02
873,6,575137,2006-11-02
874,6,585667,2006-11-02
875,6,594687,2006-11-02
876,6,974885,2006-11-02
877,6,976250,2006-11-02
878,6,979534,2006-11-02
879,6,985130,2006-11-02
880,6,1013301,2006-11-02
881,6,1013322,2006-11-02
882,6,1131667,2006-11-02
883,6,1143563,2006-11-02
884,6,1143569,2006-11-02
885,6,1383501,2006-11-02
886,6,1427496,2006-11-02
887,6,1427497,2006-11-02
888,7,16,2006-11-02
889,7,23,2006-11-02
890,7,35,2006-11-02
891,7,43,2006-11-02
892,7,55,2006-11-02
893,7,56,2006-11-02
894,7,58,2006-11-02
895,7,68,2006-11-02
896,7,92,2006-11-02
897,7,95,2006-11-02
898,7,96,2006-11-02
899,7,98,2006-11-02
900,7,104,2006-11-02
901,7,110,2006-11-02
902,7,115,2006-11-02
903,7,118,2006-11-02
904,7,119,2006-11-02
905,7,122,2006-11-02
906,7,133,2006-11-02
907,7,148,2006-11-02
908,7,182,2006-11-02
909,7,196,2006-11-02
910,7,204,2006-11-02
911,7,212,2006-11-02
912,7,218,2006-11-02
913,7,227,2006-11-02
914,7,228,2006-11-02
915,7,248,2006-11-02
916,7,251,2006-11-02
917,7,255,2006-11-02
918,7,270,2006-11-02
919,7,275,2006-11-02
920,7,296,2006-11-02
921,7,306,2006-11-02
922,7,321,2006-11-02
923,7,343,2006-11-02
924,7,347,2006-11-02
925,7,361,2006-11-02
926,7,374,2006-11-02
927,7,376,2006-11-02
928,7,391,2006-11-02
929,7,419,2006-11-02
930,7,424,2006-11-02
931,7,450,2006-11-02
932,7,451,2006-11-02
933,7,453,2006-11-02
934,7,472,2006-11-02
935,7,477,2006-11-02
936,7,491,2006-11-02
937,7,493,2006-11-02
938,7,502,2006-11-02
939,7,514,2006-11-02
940,7,538,2006-11-02
941,7,540,2006-11-02
942,7,576,2006-11-02
943,7,581,2006-11-02
944,7,588,2006-11-02
945,7,589,2006-11-02
946,7,600,2006-11-02
947,7,601,2006-11-02
948,7,613,2006-11-02
949,7,622,2006-11-02
950,7,629,2006-11-02
951,7,636,2006-11-02
952,7,645,2006-11-02
953,7,647,2006-11-02
954,7,664,2006-11-02
955,7,674,2006-11-02
956,7,675,2006-11-02
957,7,676,2006-11-02
958,7,695,2006-11-02
959,7,697,2006-11-02
960,7,706,2006-11-02
961,7,724,2006-11-02
962,7,736,2006-11-02
963,7,738,2006-11-02
964,7,739,2006-11-02
965,7,740,2006-11-02
966,7,747,2006-11-02
967,7,759,2006-11-02
968,7,766,2006-11-02
969,7,767,2006-11-02
970,7,770,2006-11-02
971,7,830,2006-11-02
972,7,834,2006-11-02
973,7,836,2006-11-02
974,7,837,2006-11-02
975,7,838,2006-11-02
976,7,844,2006-11-02
977,7,869,2006-11-02
978,7,883,2006-11-02
979,7,888,2006-11-02
980,7,892,2006-11-02
981,7,905,2006-11-02
982,7,919,2006-11-02
983,7,924,2006-11-02
984,7,926,2006-11-02
985,7,929,2006-11-02
986,7,938,2006-11-02
987,7,947,2006-11-02
988,7,954,2006-11-02
989,7,967,2006-11-02
990,7,968,2006-11-02
991,7,969,2006-11-02
992,7,971,2006-11-02
993,7,972,2006-11-02
994,7,973,2006-11-02
995,7,974,2006-11-02
996,7,976,2006-11-02
997,7,980,2006-11-02
998,7,982,2006-11-02
999,7,984,2006-11-02
1000,7,985,2006-11-02
1001,7,987,2006-11-02
1002,7,988,2006-11-02
1003,7,989,2006-11-02
1004,7,992,2006-11-02
1005,7,995,2006-11-02
1006,7,999,2006-11-02
1007,7,1003,2006-11-02
1008,7,1006,2006-11-02
1009,7,1011,2006-11-02
1010,7,1012,2006-11-02
1011,7,1013,2006-11-02
1012,7,1014,2006-11-02
1013,7,1015,2006-11-02
1014,7,1029,2006-11-02
1015,7,1032,2006-11-02
1016,7,1036,2006-11-02
1017,7,1040,2006-11-02
1018,7,1043,2006-11-02
1019,7,1049,2006-11-02
1020,7,1057,2006-11-02
1021,7,1059,2006-11-02
1022,7,1062,2006-11-02
1023,7,1066,2006-11-02
1024,7,1073,2006-11-02
1025,7,1079,2006-11-02
1026,7,1087,2006-11-02
1027,7,1090,2006-11-02
1028,7,1091,2006-11-02
